### DATA:
#
# 261
#      Q             I(Q)           Error     
1.00000000E-02  3.06155162E+01  5.56030867E+00
1.10000000E-02  3.04547468E+01  5.54569741E+00
1.20000000E-02  3.02799111E+01  5.52976393E+00
1.30000000E-02  3.00913371E+01  5.51252681E+00
1.40000000E-02  2.98893781E+01  5.49400622E+00
1.50000000E-02  2.96744076E+01  5.47422357E+00
1.60000000E-02  2.94468232E+01  5.45320192E+00
1.70000000E-02  2.92070408E+01  5.43096553E+00
1.80000000E-02  2.89554984E+01  5.40754030E+00
1.90000000E-02  2.86926473E+01  5.38295301E+00
2.00000000E-02  2.84189588E+01  5.35723206E+00
2.10000000E-02  2.81349174E+01  5.33040692E+00
2.20000000E-02  2.78410217E+01  5.30250828E+00
2.30000000E-02  2.75377804E+01  5.27356778E+00
2.40000000E-02  2.72257163E+01  5.24361851E+00
2.50000000E-02  2.69053565E+01  5.21269408E+00
2.60000000E-02  2.65772387E+01  5.18082943E+00
2.70000000E-02  2.62419051E+01  5.14806025E+00
2.80000000E-02  2.58999027E+01  5.11442313E+00
2.90000000E-02  2.55517816E+01  5.07995547E+00
3.00000000E-02  2.51980930E+01  5.04469540E+00
3.10000000E-02  2.48393858E+01  5.00868149E+00
3.20000000E-02  2.44762113E+01  4.97195332E+00
3.30000000E-02  2.41091134E+01  4.93455056E+00
3.40000000E-02  2.37386352E+01  4.89651373E+00
3.50000000E-02  2.33653117E+01  4.85788352E+00
3.60000000E-02  2.29896706E+01  4.81870093E+00
3.70000000E-02  2.26122340E+01  4.77900750E+00
3.80000000E-02  2.22335104E+01  4.73884455E+00
3.90000000E-02  2.18540005E+01  4.69825383E+00
4.00000000E-02  2.14741919E+01  4.65727699E+00
4.10000000E-02  2.10945609E+01  4.61595581E+00
4.20000000E-02  2.07155688E+01  4.57433187E+00
4.30000000E-02  2.03376618E+01  4.53244650E+00
4.40000000E-02  1.99612719E+01  4.49034094E+00
4.50000000E-02  1.95868138E+01  4.44805600E+00
4.60000000E-02  1.92146863E+01  4.40563219E+00
4.70000000E-02  1.88452700E+01  4.36310948E+00
4.80000000E-02  1.84789291E+01  4.32052750E+00
4.90000000E-02  1.81160079E+01  4.27792509E+00
5.00000000E-02  1.77568314E+01  4.23534036E+00
5.10000000E-02  1.74017075E+01  4.19281090E+00
5.20000000E-02  1.70509237E+01  4.15037340E+00
5.30000000E-02  1.67047487E+01  4.10806369E+00
5.40000000E-02  1.63634306E+01  4.06591658E+00
5.50000000E-02  1.60271987E+01  4.02396591E+00
5.60000000E-02  1.56962628E+01  3.98224450E+00
5.70000000E-02  1.53708138E+01  3.94078406E+00
5.80000000E-02  1.50510242E+01  3.89961525E+00
5.90000000E-02  1.47370454E+01  3.85876721E+00
6.00000000E-02  1.44290117E+01  3.81826797E+00
6.10000000E-02  1.41270392E+01  3.77814426E+00
6.20000000E-02  1.38312257E+01  3.73842138E+00
6.30000000E-02  1.35416520E+01  3.69912327E+00
6.40000000E-02  1.32583818E+01  3.66027238E+00
6.50000000E-02  1.29814633E+01  3.62188984E+00
6.60000000E-02  1.27109280E+01  3.58399512E+00
6.70000000E-02  1.24467920E+01  3.54660614E+00
6.80000000E-02  1.21890583E+01  3.50973950E+00
6.90000000E-02  1.19377138E+01  3.47340993E+00
7.00000000E-02  1.16927342E+01  3.43763090E+00
7.10000000E-02  1.14540833E+01  3.40241440E+00
7.20000000E-02  1.12217096E+01  3.36777034E+00
7.30000000E-02  1.09955554E+01  3.33370787E+00
7.40000000E-02  1.07755472E+01  3.30023374E+00
7.50000000E-02  1.05616072E+01  3.26735401E+00
7.60000000E-02  1.03536456E+01  3.23507279E+00
7.70000000E-02  1.01515655E+01  3.20339293E+00
7.80000000E-02  9.95526190E+00  3.17231572E+00
7.90000000E-02  9.76462378E+00  3.14184123E+00
8.00000000E-02  9.57953306E+00  3.11196800E+00
8.10000000E-02  9.39986861E+00  3.08269368E+00
8.20000000E-02  9.22550224E+00  3.05401433E+00
8.30000000E-02  9.05630374E+00  3.02592512E+00
8.40000000E-02  8.89213787E+00  2.99841990E+00
8.50000000E-02  8.73286736E+00  2.97149155E+00
8.60000000E-02  8.57835391E+00  2.94513222E+00
8.70000000E-02  8.42845622E+00  2.91933287E+00
8.80000000E-02  8.28303198E+00  2.89408368E+00
8.90000000E-02  8.14194088E+00  2.86937448E+00
9.00000000E-02  8.00503858E+00  2.84519375E+00
9.10000000E-02  7.87218480E+00  2.82152997E+00
9.20000000E-02  7.74323820E+00  2.79837078E+00
9.30000000E-02  7.61805952E+00  2.77570348E+00
9.40000000E-02  7.49651046E+00  2.75351487E+00
9.50000000E-02  7.37845578E+00  2.73179164E+00
9.60000000E-02  7.26376122E+00  2.71051997E+00
9.70000000E-02  7.15229760E+00  2.68968634E+00
9.80000000E-02  7.04393571E+00  2.66927658E+00
9.90000000E-02  6.93855039E+00  2.64927664E+00
1.00000000E-01  6.83602154E+00  2.62967281E+00
1.01000000E-01  6.73622904E+00  2.61045082E+00
1.02000000E-01  6.63906085E+00  2.59159732E+00
1.03000000E-01  6.54440393E+00  2.57309825E+00
1.04000000E-01  6.45215330E+00  2.55494058E+00
1.05000000E-01  6.36220500E+00  2.53711095E+00
1.06000000E-01  6.27446011E+00  2.51959651E+00
1.07000000E-01  6.18882375E+00  2.50238476E+00
1.08000000E-01  6.10520509E+00  2.48546352E+00
1.09000000E-01  6.02351732E+00  2.46882103E+00
1.10000000E-01  5.94367564E+00  2.45244552E+00
1.11000000E-01  5.86560337E+00  2.43632647E+00
1.12000000E-01  5.78922276E+00  2.42045282E+00
1.13000000E-01  5.71446418E+00  2.40481480E+00
1.14000000E-01  5.64125899E+00  2.38940254E+00
1.15000000E-01  5.56954360E+00  2.37420692E+00
1.16000000E-01  5.49925644E+00  2.35921896E+00
1.17000000E-01  5.43034099E+00  2.34443047E+00
1.18000000E-01  5.36274376E+00  2.32983367E+00
1.19000000E-01  5.29641225E+00  2.31542073E+00
1.20000000E-01  5.23130003E+00  2.30118493E+00
1.21000000E-01  5.16736270E+00  2.28711978E+00
1.22000000E-01  5.10455787E+00  2.27321903E+00
1.23000000E-01  5.04284514E+00  2.25947670E+00
1.24000000E-01  4.98218921E+00  2.24588777E+00
1.25000000E-01  4.92255374E+00  2.23244681E+00
1.26000000E-01  4.86390843E+00  2.21914962E+00
1.27000000E-01  4.80622201E+00  2.20599166E+00
1.28000000E-01  4.74946722E+00  2.19296916E+00
1.29000000E-01  4.69361580E+00  2.18007799E+00
1.30000000E-01  4.63864555E+00  2.16731534E+00
1.31000000E-01  4.58453223E+00  2.15467780E+00
1.32000000E-01  4.53125364E+00  2.14216238E+00
1.33000000E-01  4.47879162E+00  2.12976690E+00
1.34000000E-01  4.42712497E+00  2.11748844E+00
1.35000000E-01  4.37623653E+00  2.10532491E+00
1.36000000E-01  4.32611116E+00  2.09327469E+00
1.37000000E-01  4.27673068E+00  2.08133531E+00
1.38000000E-01  4.22808199E+00  2.06950552E+00
1.39000000E-01  4.18014994E+00  2.05778347E+00
1.40000000E-01  4.13292039E+00  2.04616755E+00
1.41000000E-01  4.08638225E+00  2.03465681E+00
1.42000000E-01  4.04052240E+00  2.02324977E+00
1.43000000E-01  3.99532972E+00  2.01194542E+00
1.44000000E-01  3.95079111E+00  2.00074219E+00
1.45000000E-01  3.90689746E+00  1.98963947E+00
1.46000000E-01  3.86363770E+00  1.97863613E+00
1.47000000E-01  3.82100070E+00  1.96773099E+00
1.48000000E-01  3.77897738E+00  1.95692334E+00
1.49000000E-01  3.73755766E+00  1.94621220E+00
1.50000000E-01  3.69673245E+00  1.93559680E+00
1.51000000E-01  3.65649165E+00  1.92507607E+00
1.52000000E-01  3.61682517E+00  1.91464892E+00
1.53000000E-01  3.57772594E+00  1.90431501E+00
1.54000000E-01  3.53918287E+00  1.89407290E+00
1.55000000E-01  3.50118889E+00  1.88392221E+00
1.56000000E-01  3.46373390E+00  1.87386170E+00
1.57000000E-01  3.42680982E+00  1.86389064E+00
1.58000000E-01  3.39040859E+00  1.85400829E+00
1.59000000E-01  3.35452011E+00  1.84421329E+00
1.60000000E-01  3.31913732E+00  1.83450511E+00
1.61000000E-01  3.28425214E+00  1.82488290E+00
1.62000000E-01  3.24985447E+00  1.81534523E+00
1.63000000E-01  3.21593725E+00  1.80589145E+00
1.64000000E-01  3.18249241E+00  1.79652062E+00
1.65000000E-01  3.14951288E+00  1.78723206E+00
1.66000000E-01  3.11698857E+00  1.77802418E+00
1.67000000E-01  3.08491241E+00  1.76889623E+00
1.68000000E-01  3.05327834E+00  1.75984772E+00
1.69000000E-01  3.02207729E+00  1.75087727E+00
1.70000000E-01  2.99130117E+00  1.74198373E+00
1.71000000E-01  2.96094393E+00  1.73316652E+00
1.72000000E-01  2.93099750E+00  1.72442447E+00
1.73000000E-01  2.90145481E+00  1.71575663E+00
1.74000000E-01  2.87230981E+00  1.70716234E+00
1.75000000E-01  2.84355441E+00  1.69864033E+00
1.76000000E-01  2.81518257E+00  1.69018988E+00
1.77000000E-01  2.78718721E+00  1.68180995E+00
1.78000000E-01  2.75956128E+00  1.67349946E+00
1.79000000E-01  2.73230073E+00  1.66525823E+00
