# OCF	OCF_CI
0.724398	0.000393
0.415353	0.000547
0.131875	0.000826
-0.062156	0.001157
-0.147163	0.001323
-0.139277	0.001268
-0.074624	0.001142
0.007839	0.001183
0.076501	0.001369
0.114659	0.001490
0.120090	0.001454
0.100268	0.001312
0.067833	0.001172
0.034950	0.001103
0.009858	0.001073
-0.004044	0.001028
-0.007778	0.000959
-0.004748	0.000899
0.001125	0.000863
0.006567	0.000833
0.009634	0.000787
0.010116	0.000721
0.008414	0.000646
0.005645	0.000572
0.002984	0.000495
0.001002	0.000407
0.000089	0.000299
-0.000149	0.000169
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.451060
