# Base  Sugar  Phosphate  Total
 2636.669236  2331.367740  2079.862354  7047.899329
 3210.382512  2154.884406  2182.723197  7547.990114
 2652.868719  2254.575681  2114.393605  7021.838005
 2878.371722  2286.065545  2204.256010  7368.693277
 2999.207891  2163.018850  2066.290304  7228.517045
 2633.237777  2241.516691  2228.754837  7103.509304
 2789.034651  2044.408969  2142.761817  6976.205438
 2891.223802  2231.530421  2237.643763  7360.397987
 2695.740561  2274.110169  2244.421456  7214.272187
 2782.260434  2271.650055  2120.388867  7174.299355
 2318.083783  2367.049607  2056.290592  6741.423982
 2440.805395  2351.078158  2226.558522  7018.442074
 2730.796867  2210.437521  2174.761676  7115.996065
 2732.807358  2265.363063  2339.865895  7338.036316
 3073.053443  2151.369244  2221.732926  7446.155613
 2560.934882  2231.213231  2286.477966  7078.626079
 2309.887033  2375.646053  2193.918250  6879.451337
 2477.267815  2245.592131  2277.215761  7000.075708
 2757.941060  2254.571906  2139.002589  7151.515555
 2464.447700  2278.245085  2018.307970  6761.000755
 2952.124805  2218.416134  2046.566224  7217.107162
 2873.933626  2282.730010  2329.300351  7485.963986
 2403.072331  2323.986074  2211.243023  6938.301428
 2539.587325  2231.242312  2195.903402  6966.733039
 2737.025498  2243.262912  2113.723870  7094.012281
 2536.479721  2233.343532  1986.196904  6756.020157
 3206.947297  2185.054610  2098.079679  7490.081586
 2903.763155  2166.665426  2231.010832  7301.439413
 2924.911751  2050.167401  2345.190296  7320.269448
 2604.711185  2268.436395  2171.052216  7044.199795
 2716.818995  2033.754962  2324.381320  7074.955277
 2550.101573  2382.419130  1989.245468  6921.766171
 2970.695694  2068.443329  2216.544159  7255.683182
 3056.761583  2049.458613  2181.183339  7287.403535
 3091.126275  2234.494251  2145.388172  7471.008699
 2808.836755  2201.809456  2149.312227  7159.958438
 2533.586017  2209.225041  2216.174408  6958.985466
 2763.385258  2342.972760  2197.171911  7303.529929
 2571.323020  2274.503237  2200.781583  7046.607840
 2353.225680  2350.620790  2257.788891  6961.635361
 2393.758016  2431.541229  2237.826661  7063.125906
 2588.722836  2274.699369  2041.022922  6904.445126
 2117.425062  2383.427769  2145.027150  6645.879981
 2719.821701  2247.829866  2209.646455  7177.298023
 2897.685137  2265.415477  2094.515212  7257.615826
 2714.398850  2248.958186  2268.392014  7231.749050
 2499.654416  2191.165113  2178.841259  6869.660789
 2731.494193  2340.815524  2237.650913  7309.960629
