# OCF	OCF_CI
0.653265	0.000512
0.383422	0.000662
0.181301	0.000896
0.058505	0.001134
0.001430	0.001231
-0.012815	0.001198
-0.005311	0.001139
0.008040	0.001128
0.019416	0.001151
0.025427	0.001157
0.025648	0.001124
0.022183	0.001076
0.017442	0.001026
0.012857	0.000986
0.009028	0.000946
0.006543	0.000910
0.005007	0.000874
0.004106	0.000836
0.003443	0.000796
0.002548	0.000753
0.001856	0.000705
0.001381	0.000655
0.001089	0.000600
0.000899	0.000538
0.000703	0.000468
0.000319	0.000386
0.000066	0.000287
0.000007	0.000169
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.454494
