# Base  Sugar  Phosphate  Total
 2250.747776  2247.123027  2157.900905  6655.771709
 2473.263537  2171.876390  2185.974846  6831.114773
 2217.555593  2305.206566  2134.811808  6657.573968
 2265.419837  2233.288274  2031.078087  6529.786198
 2649.249663  2267.274707  2068.825556  6985.349926
 2753.232285  2254.581717  1952.859888  6960.673890
 2645.202274  2246.551453  2125.513744  7017.267471
 2691.486166  2107.573506  2166.139216  6965.198888
 2573.276520  2257.984918  2088.844811  6920.106249
 2321.670006  2262.806628  2006.816420  6591.293054
 2640.723756  2252.302093  1987.579365  6880.605214
 2799.815359  2192.038471  2001.345783  6993.199613
 2332.874937  2305.794859  2021.709198  6660.378994
 2554.142997  2112.618810  2136.649277  6803.411084
 2593.078007  2262.152758  2038.050877  6893.281642
 2879.293538  2173.670921  2130.237246  7183.201705
 2996.925542  2139.452888  2084.093612  7220.472041
 2900.490418  2090.708597  2073.702342  7064.901357
 3006.477125  2074.752446  2179.638373  7260.867944
 2815.232737  2076.793562  2138.556791  7030.583090
 2932.411686  2071.478031  2090.335933  7094.225649
 2370.852360  2186.311253  1911.592378  6468.755991
 3121.338231  2212.403826  2152.371824  7486.113881
 3094.745048  2084.857907  1926.932833  7106.535787
 2711.028600  2259.029378  2180.752459  7150.810437
 2560.288149  2187.339601  2187.241455  6934.869205
 2873.467484  2164.570335  2027.914131  7065.951950
 2764.408865  2261.468263  2093.516141  7119.393269
 2991.495462  2025.822943  2131.736258  7149.054663
 3245.426929  2008.368998  1870.555679  7124.351605
 3289.834282  2039.607510  1894.186232  7223.628024
 3163.479008  1996.108167  1871.112373  7030.699548
 3453.192611  1921.224575  1983.219686  7357.636873
 3092.855906  2137.583246  1871.214980  7101.654132
 2891.016039  1910.086451  1962.389700  6763.492190
 3228.419596  2024.752732  2095.677700  7348.850027
 2726.200511  2228.313258  1980.433107  6934.946877
 3173.011776  1977.290299  1934.632405  7084.934480
 2380.000125  2214.800546  2169.290342  6764.091014
 2757.301267  2183.969938  2176.087503  7117.358708
 2678.296394  2041.573768  2206.236655  6926.106817
 2802.991193  2203.190871  2072.840276  7079.022340
 2750.223869  2159.697283  1947.982881  6857.904033
 2798.406447  2178.426689  2043.076727  7019.909863
 2658.280113  2151.101216  2132.731960  6942.113289
 2451.991441  2105.082127  1995.707330  6552.780897
 2510.160991  2304.610788  2166.948391  6981.720170
 2752.342553  2102.251024  2040.604296  6895.197873
 3030.131933  2058.154464  2068.170662  7156.457059
 2755.044503  2176.258285  2208.886250  7140.189037
 2867.654977  2081.439158  2124.056070  7073.150205
 2538.737567  2170.140483  1970.803467  6679.681517
 3026.414456  2078.178781  1929.321246  7033.914482
 2876.808397  2192.448474  1995.421885  7064.678756
 3002.500092  2054.166429  2047.170805  7103.837326
 2844.360447  2107.415227  1988.353525  6940.129198
 2004.414019  2250.961074  2215.958976  6471.334069
 2669.328975  2118.473790  2043.261535  6831.064300
 3071.021769  2162.828885  2014.005235  7247.855889
 3019.311074  2121.266933  2082.121349  7222.699356
 2881.832669  2106.354762  2037.989330  7026.176761
 2599.583120  2138.729888  2074.368630  6812.681637
 2947.760925  2034.193545  2014.428937  6996.383406
 2875.771496  2136.573057  1882.303466  6894.648019
 2965.604731  2266.302491  2014.073683  7245.980905
 3017.133637  2067.231474  2135.876877  7220.241989
 3015.084168  2127.984586  2091.856629  7234.925384
 2457.506740  2252.272073  2107.761765  6817.540578
 2913.441804  2189.424963  2013.186740  7116.053507
 2709.318285  2113.024681  2094.934530  6917.277496
 2731.133610  2200.258368  2177.877695  7109.269674
 2567.617466  2108.019808  2093.542473  6769.179747
 2617.007325  2325.296405  1889.949889  6832.253618
 2725.900208  2137.964451  2124.815848  6988.680507
 2618.025939  2105.587130  1950.679941  6674.293010
 3070.354467  2186.639099  2068.078965  7325.072531
 2876.410717  2110.500228  2016.583378  7003.494322
 2565.128392  2217.468867  1867.628040  6650.225299
 3230.126517  2060.281503  1987.796079  7278.204099
 2719.747974  2155.617126  2005.355895  6880.720995
 3459.744459  2174.185352  1832.744167  7466.673978
 3044.146393  2158.902988  1976.213906  7179.263288
 3117.668533  2116.311482  2035.556633  7269.536647
 3016.788817  2045.600924  2067.232941  7129.622681
 3142.500672  2192.153938  1830.399107  7165.053717
 3380.674159  1985.106338  1875.463626  7241.244123
 2984.501880  2085.266791  1601.384580  6671.153251
 2579.867481  1975.942726  1896.529116  6452.339324
 2715.648249  2325.793353  2119.609721  7161.051323
 2444.606893  2048.862578  2180.853551  6674.323022
 2556.404922  2215.062817  2259.209187  7030.676927
 2489.940707  2180.880053  2127.023725  6797.844484
 2870.697518  2108.235146  1950.413605  6929.346269
 2362.073422  2123.630966  1989.369687  6475.074075
 2777.703123  2126.075904  2024.264217  6928.043245
 2546.308629  2244.296513  2096.936225  6887.541367
 2703.754940  2305.658148  2019.449133  7028.862222
 3016.613060  2159.946173  1854.152923  7030.712155
 2715.006419  2100.058103  2054.712330  6869.776852
 3142.235789  2206.684012  1894.188346  7243.108148
 2746.057965  2213.614329  2028.814702  6988.486996
 2693.998203  2155.934014  2134.171151  6984.103368
 2817.981135  2195.453667  1888.786867  6902.221669
 2657.691093  2152.914155  2208.988466  7019.593714
 2745.741249  2305.220808  2123.983259  7174.945316
 2964.507295  2144.978201  2107.261423  7216.746919
 2620.098273  2213.851261  2136.303334  6970.252869
 3226.822972  2117.038498  2070.480640  7414.342110
 2657.274997  2162.611326  2147.676863  6967.563186
 3099.467665  2100.433358  2197.444448  7397.345471
 2624.240864  2233.219363  1987.905092  6845.365320
 2373.390014  2223.705255  2000.299124  6597.394393
 2265.878075  2256.766093  2001.445781  6524.089949
 2590.757330  2200.378420  2078.300338  6869.436087
 3004.008495  2177.031360  2060.649655  7241.689510
 2463.112544  2225.882852  2095.832358  6784.827754
 2802.398074  2156.096920  2009.937399  6968.432393
 2876.421485  2260.163949  2054.269966  7190.855400
 3073.797455  2166.339730  1962.944270  7203.081455
 2839.575946  2166.522065  2177.401209  7183.499221
 2785.570586  2013.803192  2119.324809  6918.698587
 3369.220425  2047.750800  1831.546607  7248.517832
 2331.748309  1993.131473  1919.762516  6244.642299
 2788.734568  2153.275363  2119.520849  7061.530780
 2912.039223  2174.156660  2041.690585  7127.886469
 2694.233773  2233.443556  2078.958940  7006.636270
 2811.666130  2192.908980  2121.194935  7125.770046
 2454.287468  2284.132872  2035.409227  6773.829567
 2344.135095  2211.879301  2238.782561  6794.796957
 2797.448372  2078.666599  1949.146415  6825.261385
 2829.484925  2148.214336  2084.740282  7062.439543
 2934.414646  2159.346316  1951.240460  7045.001421
 2724.417337  2132.779070  2228.865794  7086.062201
 2699.045451  2184.288986  1997.348615  6880.683052
 2659.202998  2170.155144  2180.023278  7009.381419
 2946.519908  2175.185446  2162.654906  7284.360260
 2834.597619  2136.630507  2115.598335  7086.826460
 2406.786561  2348.457171  2104.200060  6859.443793
 2768.949723  2204.768028  2151.976733  7125.694484
 3465.832893  1976.931684  2092.231988  7534.996564
 2822.744686  2099.607515  2199.719959  7122.072160
 3084.547792  2082.520004  2113.977799  7281.045594
 3279.075822  2033.623372  1849.203850  7161.903044
 3185.959715  2107.136711  2099.173039  7392.269466
 2840.851847  2144.147423  2211.240334  7196.239605
 2858.021026  2133.450719  2024.848247  7016.319992
 2769.395588  2142.634978  2165.674001  7077.704566
 2751.242615  2152.257898  2120.780725  7024.281239
 3289.259591  2108.301084  2040.448314  7438.008989
 2839.756951  2049.030352  1869.713667  6758.500971
 2655.228595  2136.546908  2089.817246  6881.592749
 2984.427010  2083.543425  2022.418775  7090.389210
 2868.910969  2121.368339  2020.567215  7010.846523
 2909.984097  2162.630484  2092.137273  7164.751853
 2400.642285  2238.546680  2104.369986  6743.558950
 2736.185749  2192.914716  2129.247150  7058.347615
 2656.652603  2166.649718  2235.820041  7059.122362
 3033.178255  2140.981996  2130.481126  7304.641377
 2998.753930  2008.474106  2012.509487  7019.737523
 2850.170617  2214.598834  1989.836598  7054.606050
 2794.909236  2175.289398  2097.768394  7067.967027
 2567.903924  2279.212098  2068.414476  6915.530498
 3235.606516  2091.536939  2018.541312  7345.684767
 2539.960895  1965.843212  2006.734093  6512.538200
 2927.948963  2184.362129  2086.304075  7198.615167
 2959.105805  2062.016021  2180.439075  7201.560901
 2489.030644  2155.107049  2101.625940  6745.763633
 2456.298938  2172.104870  2244.362567  6872.766375
 2621.319822  2188.399602  2170.960118  6980.679542
 2227.441023  2246.285386  2235.938352  6709.664761
 2243.642603  2254.597325  2275.818631  6774.058559
 2527.989995  2209.391693  2113.049224  6850.430912
 2312.303301  2282.951443  2198.801495  6794.056239
 2477.877676  2371.849529  2182.593742  7032.320947
 2844.949676  2123.006400  2027.155607  6995.111682
 2897.853225  2266.076983  1956.457086  7120.387294
 2686.999238  2102.725901  1994.606481  6784.331620
 2846.022545  2217.824325  2122.981467  7186.828337
 2759.123608  2263.689190  2010.071834  7032.884631
 2815.494758  2017.150057  2141.162040  6973.806855
 2819.728191  2234.143148  2076.796160  7130.667499
 2500.954846  2283.645332  2174.766778  6959.366956
 2512.728627  2086.175457  2151.248826  6750.152910
 2615.696794  2102.429243  2237.211562  6955.337599
 2592.966380  2109.769433  2098.686640  6801.422453
 2674.287475  2179.370771  2149.466689  7003.124935
 2608.643846  2232.578188  2219.252013  7060.474047
 2360.620827  2159.890290  2121.595858  6642.106974
 2933.509434  2261.803986  2009.621231  7204.934651
 3261.679253  1975.357554  2045.744311  7282.781118
 2682.653552  2156.103754  2057.844578  6896.601884
 2647.898504  2288.373512  2080.345272  7016.617287
 2315.826028  2170.342043  2027.373985  6513.542056
 3083.463422  2025.651064  2077.630410  7186.744896
 2689.158283  2193.390264  2123.340324  7005.888871
 2218.079096  2240.770164  2276.416688  6735.265948
 2257.596871  2145.275402  1912.460949  6315.333221
 2584.045448  2245.588741  2028.894808  6858.528997
 2400.196854  2155.632419  2088.574444  6644.403717
 2518.994281  2267.334180  2134.601795  6920.930257
 2384.513267  2272.738271  2164.717546  6821.969084
 2439.849905  2276.797907  2129.306166  6845.953978
 2489.301541  2305.263592  2089.902400  6884.467533
 2624.256432  2321.842201  2052.540800  6998.639433
 3077.146428  2083.060642  2106.790620  7266.997689
 2453.692090  2142.982948  2151.348884  6748.023922
